,file_path,paragraph,sentence,entities,labels,position_start,position_end,has_terms,weight
22945,C:\Users\shweata\ethics_statement_corpus_1000\PMC8004093\sections\1_body\1_2__materials_and_methods\1_p.xml,"The study included 39 patients with systemic sclerosis admitted to the II-nd Rheumatology Clinic of our hospital between January 2019 and December 2019. The inclusion criteria were represented by the diagnostic of systemic sclerosis according to ACR/EULAR 2013 classification, confirmed by clinical examination and laboratory tests. Patients with ischemic heart disease, arterial hypertension, cardiac failure, chronic pulmonary diseases, diabetes, atrial fibrillation, bundle branch block, and those under treatment with beta-blockers, antiarrhythmic drugs, or other drugs known for interfering with QT interval duration were excluded. The study protocol was approved by the Ethics committee of the hospital (approval code no 1/29.10.2015) and all patients signed an informed consent when included in the study.",The study protocol was approved by the Ethics committee of the hospital (approval code no 1/29.10.2015) and all patients signed an informed consent when included in the study.,Ethics,ORG,39,45,ethics committee of ,1
23005,C:\Users\shweata\ethics_statement_corpus_1000\PMC8004166\sections\1_body\1_2__materials_and_methods\1_p.xml,"This retrospective study was approved by the ethics committee of the Kyoto University Graduate School of Medicine (Kyoto, Japan, study ID: R2198). The research followed the tenets of the Declaration of Helsinki. Some of the patients also participated in genetic testing study, which was approved by the same ethics committee (G0746-8), and the participants provided written informed consent.","This retrospective study was approved by the ethics committee of the Kyoto University Graduate School of Medicine (Kyoto, Japan, study ID: R2198).","the Kyoto University Graduate School of Medicine, Kyoto, Japan","ORG, GPE, GPE","65, 115, 122","113, 120, 127",ethics committee of ,1
23402,C:\Users\shweata\ethics_statement_corpus_1000\PMC8004989\sections\1_body\1_2__materials_and_methods\5_2_4__ethics\1_p.xml,"Written informed consent was obtained from parents and children prior to participation in the study. The study was conducted in accordance with the ethical standards stated in the Declaration of Helsinki. The study was approved by Ethics Commission at the Lviv National Medical University, no 4, 17 December 2013 and Bioethics Committee of the Medical Department of the University of Rzeszów, decision no 2015/12/15 on 2 December 2015.","The study was approved by Ethics Commission at the Lviv National Medical University, no 4, 17 December 2013 and Bioethics Committee of the Medical Department of the University of Rzeszów, decision no 2015/12/15 on 2 December 2015.","Ethics Commission, the Lviv National Medical University, Bioethics Committee, the Medical Department of the University of Rzeszów","ORG, ORG, ORG, ORG","26, 47, 112, 135","43, 83, 131, 186",ethics committee of ,1
23489,C:\Users\shweata\ethics_statement_corpus_1000\PMC8005068\sections\1_body\1_2__methods\4_2_4__ethics_statement\1_p.xml,"This study was approved by the Institutional Review Board of the School of Public Health, Jilin University (2017-09-06).","This study was approved by the Institutional Review Board of the School of Public Health, Jilin University (2017-09-06).","the Institutional Review Board, the School of Public Health, Jilin University","ORG, ORG, ORG","27, 61, 90","57, 88, 106",institutional review board of ,1
24071,C:\Users\shweata\ethics_statement_corpus_1000\PMC8009019\sections\1_body\1_methods\4_ethical_considerations\1_p.xml,"Ethical approval for the study was obtained from the Research Ethics Committee of the Aga Khan University, Nairobi (2016/REC-56 (v3)). We also obtained a research permit from the National Commission for Science, Technology and Innovation (NACOTI/P/18/14340/20946) to carry out the research at community level. All participants provided consent after being informed about the objective of the study.","Ethical approval for the study was obtained from the Research Ethics Committee of the Aga Khan University, Nairobi (2016/REC-56 (v3)).","the Research Ethics Committee, the Aga Khan University, Nairobi","ORG, ORG, GPE","49, 82, 107","78, 105, 114",ethics committee of ,1
24151,C:\Users\shweata\ethics_statement_corpus_1000\PMC8009361\sections\1_body\1_materials_and_methods\1_ethics\1_p.xml,"This study protocol was reviewed and approved by Hassan II University Hospital Ethics Committee of FEZ, Morocco, under reference no. 13/18. All patients gave written informed consent before the start of the study.","This study protocol was reviewed and approved by Hassan II University Hospital Ethics Committee of FEZ, Morocco, under reference no.","Hassan II University Hospital Ethics Committee, FEZ, Morocco","ORG, ORG, GPE","49, 99, 104","95, 102, 111",ethics committee of ,1
24331,C:\Users\shweata\ethics_statement_corpus_1000\PMC8011688\sections\1_body\6_materials_and_methods\2_ethics\1_p.xml,The protocol (Dnro HUS/2020/2016) of the study was approved by the Coordinating Ethical Committee of the Hospital District of Helsinki and Uusimaa. Each subject gave written informed consent prior to participation. All study procedures followed the ethical guidelines set by the declaration of Helsinki.,The protocol (Dnro HUS/2020/2016) of the study was approved by the Coordinating Ethical Committee of the Hospital District of Helsinki and Uusimaa.,"the Coordinating Ethical Committee of, Helsinki, Uusimaa","ORG, GPE, GPE","63, 126, 139","100, 134, 146",ethical committee of ,1
24637,C:\Users\shweata\ethics_statement_corpus_1000\PMC8013731\sections\1_body\1_materials_and_methods\1_ethics_statement\1_p.xml,The study was approved by the Ethics Committee of Zhongshan Hospital. All the data were collected from published databases. It was then confirmed that all written informed consent was obtained.,The study was approved by the Ethics Committee of Zhongshan Hospital.,the Ethics Committee of Zhongshan Hospital,ORG,26,68,ethics committee of ,1
24800,C:\Users\shweata\ethics_statement_corpus_1000\PMC8016267\sections\1_body\1_methods\5_ethics_committee_approval\1_p.xml,This study was approved by the Institutional Review Board of Chulalongkorn University (IRB No.236/63) and the Institutional Review Board of Ranong Hospital. (Thai Clinical Trials Registry: TCTR20200426002),This study was approved by the Institutional Review Board of Chulalongkorn University (IRB No.236/63) and the Institutional Review Board of Ranong Hospital.,"the Institutional Review Board of Chulalongkorn University, the Institutional Review Board of Ranong Hospital","ORG, ORG","27, 106","85, 155",institutional review board of ,1
24882,C:\Users\shweata\ethics_statement_corpus_1000\PMC8016268\sections\1_body\1_material_and_methods\2_animals\1_p.xml,"Female C57BL/6 mice (18–20 g) were purchased from the Animal Center of Sun Yat-Sen University (License number: SCXK (Guangdong) 2016–0029; Guangzhou, China) and used for the experiments (total of 138 animals). Mice were housed at 23°C—25°C with relative humidity of 50% - 70% in a 12 h light/dark cycle, lights on at 7:00 am. Animals had free access to food and water. All animal experiments were approved by the Animal Ethics Committee of Guangzhou University of Chinese Medicine (IACUC, IITCM-01-20160703), in line with animal welfare, animal protection and ethical principles. The animals were grouped by simple randomization.","All animal experiments were approved by the Animal Ethics Committee of Guangzhou University of Chinese Medicine (IACUC, IITCM-01-20160703), in line with animal welfare, animal protection and ethical principles.","the Animal Ethics Committee, Guangzhou University of Chinese Medicine (IACUC","ORG, ORG","40, 71","67, 118",ethics committee of ,1
25215,C:\Users\shweata\ethics_statement_corpus_1000\PMC8016393\sections\1_body\1_materials_and_methods\8_ethics_statement\1_p.xml,"The study was approved by the ethics committee of West China Hospital of Stomatology, Sichuan University.","The study was approved by the ethics committee of West China Hospital of Stomatology, Sichuan University.","West China Hospital of Stomatology, Sichuan University",ORG,50,104,ethics committee of ,1
25258,C:\Users\shweata\ethics_statement_corpus_1000\PMC8016393\sections\1_body\5_ethics_statement\1_p.xml,"The animal study was reviewed and approved by the ethics committee of West China Hospital of Stomatology, Sichuan University.","The animal study was reviewed and approved by the ethics committee of West China Hospital of Stomatology, Sichuan University.","West China Hospital of Stomatology, Sichuan University",ORG,70,124,ethics committee of ,1
25520,C:\Users\shweata\ethics_statement_corpus_1000\PMC8019787\sections\1_body\1_material_and_methods\1_ethics\1_p.xml,This retrospective study was approved by the ethics committee of the Medical University of Vienna (EK 1773/2016; 1123/2015).,This retrospective study was approved by the ethics committee of the Medical University of Vienna (EK 1773/2016; 1123/2015).,the Medical University of Vienna,ORG,65,97,ethics committee of ,1
25561,C:\Users\shweata\ethics_statement_corpus_1000\PMC8019787\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Ethics committee of the Medical University of Vienna (EK 1773/2016; 1123/2015). Written informed consent for participation was not required for this study in accordance with the national legislation and the institutional requirements.,The studies involving human participants were reviewed and approved by Ethics committee of the Medical University of Vienna (EK 1773/2016; 1123/2015).,"Ethics, the Medical University of Vienna","ORG, ORG","71, 91","77, 123",ethics committee of ,1
25711,C:\Users\shweata\ethics_statement_corpus_1000\PMC8023604\sections\2_back\0_ethical_approval\1_p.xml,Written informed consent was collected from all patients. This study was approved by the Ethics Committee of West China Hospital of Sichuan University (2020-147) and was conducted based on the principles outlined in the Declaration of Helsinki.,This study was approved by the Ethics Committee of West China Hospital of Sichuan University (2020-147) and was conducted based on the principles outlined in the Declaration of Helsinki.,the Ethics Committee of West China Hospital of Sichuan University,ORG,27,92,ethics committee of ,1
25906,C:\Users\shweata\ethics_statement_corpus_1000\PMC8025810\sections\1_body\1_2__materials_and_methods\1_p.xml,"This report presents all three patients diagnosed with EGJ cancer who underwent elective surgery with the curative intention in the 2nd Department of General Surgery, Medical University of Lublin, during the second wave of SARS-Cov-2 pandemic in Poland, between November 1 and November 30, 2020. Written informed consent has been obtained from the patients to publish this paper. The study was conducted according to the guidelines of the Declaration of Helsinki and approved by the Ethics Committee of the Medical University of Lublin (KE-0254/297/2016).",The study was conducted according to the guidelines of the Declaration of Helsinki and approved by the Ethics Committee of the Medical University of Lublin (KE-0254/297/2016).,"the Ethics Committee of, the Medical University of Lublin","ORG, ORG","99, 123","122, 155",ethics committee of ,1
26134,C:\Users\shweata\ethics_statement_corpus_1000\PMC8026846\sections\1_body\2_materials_and_methods\1_clinical_data\1_p.xml,"We enrolled 35 patients aged 66.37 ± 4.42 years (25 female, aged 66.79 ± 4.42 years, 10 male, aged 65.88 ± 4.03 years) with RA with joint effusion at the Department of Rheumatology of the First Hospital of Qiqihar between October 2016 and September 2018. Inclusion criteria were: (1) Patients who did not receive any treatment and were newly diagnosed with RA; (2) Patients diagnosed in accordance with the 1987 American College of Rheumatology criteria 11; (3) Patients aged ≥ 60 years; and (4) Patients with joint effusion. Exclusion criteria were: (1) Patients with RA who had received prior treatment; (2) Patients with diabetes, hyperlipidemia, or other endocrine diseases, cardiovascular or cerebrovascular diseases such as hypertension, liver or kidney diseases, or hematological diseases; and (3) Patients with Iguratimod contraindications. The patients took 25 mg Iguratimod (Iremod, State Food and Drug Administration Approval No.H20110084) orally twice daily for 12 wk. Venous blood from all patients was collected before and after treatment. The blood samples were treated with anticoagulant and preserved. Puncture aspiration was performed to collect joint cavity effusion fluid. The patients were informed of the experiment before receiving the treatment and gave signed informed consent. This study was approved by the Medical Ethics Committee of the First Hospital of Qiqihar.",This study was approved by the Medical Ethics Committee of the First Hospital of Qiqihar.,"the Medical Ethics Committee, the First Hospital of Qiqihar","ORG, ORG","27, 59","55, 88",ethics committee of ,1
26220,C:\Users\shweata\ethics_statement_corpus_1000\PMC8028799\sections\1_body\1_methods\1_study_design\1_p.xml,"This was a qualitative interview study utilising a thematic analysis approach. We report the findings based on the Consolidated Criteria for Reporting Qualitative Studies (COREQ) checklist  17 (see Additional file  1). The Human Research Ethics Committee of The University of Melbourne approved the study on May 28, 2019 (ID1852648.3). The semi-structured interviews were conducted between June and November 2019.","The Human Research Ethics Committee of The University of Melbourne approved the study on May 28, 2019 (ID1852648.3).",The Human Research Ethics Committee of The University of Melbourne,ORG,0,66,ethics committee of ,1
26412,C:\Users\shweata\ethics_statement_corpus_1000\PMC8031436\sections\1_body\1_materials_and_methods\1_p.xml,"For this scientific research study, six adult Gentoo penguin specimens from Haichang Ocean Park Holdings., Ltd., that died of natural causes, were obtained with approval from both the Chinese Authorities for Animal Protection and also approved by from the Ethics Committee of Dalian Medical University.","For this scientific research study, six adult Gentoo penguin specimens from Haichang Ocean Park Holdings., Ltd., that died of natural causes, were obtained with approval from both the Chinese Authorities for Animal Protection and also approved by from the Ethics Committee of Dalian Medical University.","Gentoo, Haichang Ocean Park Holdings, the Chinese Authorities for Animal Protection, the Ethics Committee of Dalian Medical University","ORG, ORG, ORG, ORG","46, 76, 180, 252","52, 104, 225, 301",ethics committee of ,1
26605,C:\Users\shweata\ethics_statement_corpus_1000\PMC8032868\sections\1_body\6_ethics_statement\1_p.xml,"The study was approved by the Ethics committee of the Faculty of Psychology and Sports Sciences, Goethe University. The participants provided informed consent to participate in this study.","The study was approved by the Ethics committee of the Faculty of Psychology and Sports Sciences, Goethe University.","Ethics, the Faculty of Psychology and Sports Sciences, Goethe University","ORG, ORG, ORG","30, 50, 97","36, 95, 114",ethics committee of ,1
27243,C:\Users\shweata\ethics_statement_corpus_1000\PMC8036660\sections\1_body\1_2__methods\1_2_1__population\1_p.xml,"Our study consisted of liveborn children with complete information about the gestational age at birth and identity of both parents in the TMCHD from 2004 to 2017. The data include 99.78% of all births in Taiwan since 2004  32. TMCHD data were retrieved from the Taiwan Birth Registration Database, Birth Certificate Application, National Register of Death, and Taiwan National Health Insurance Research Database. The inclusion criterion of this study is the liveborn children and their parents who were recorded in the TMCHD. The exclusion criterion is parental diagnosis of ADHD; if the parents had a diagnosis of ADHD, data for parent–child pairings were excluded. Because we only focused on the diagnosis of ADHD, only parental ADHD but no other neurological or psychiatric disorders in children or parents was listed in the exclusion criterion. Thus, the children or parents in the current study may be comorbid with other neurological or psychiatric disorders. This study was approved by the Research Ethics Committee of the China Medical University & Hospital (approval number: CMUH108-REC1-142).",This study was approved by the Research Ethics Committee of the China Medical University & Hospital (approval number: CMUH108-REC1-142).,"the Research Ethics Committee, the China Medical University & Hospital","ORG, ORG","27, 60","56, 99",ethics committee of ,1
27460,C:\Users\shweata\ethics_statement_corpus_1000\PMC8036962\sections\1_body\1_2__materials_and_methods\2_2_2__methods\1_p.xml,"We recorded their demographic data, history, clinical characteristics, laboratory data, and thorax computer tomography (CT) results and therapy and followed their evolution and outcome. All patients were able to sign and signed, at admission to the hospital, the standardized informed consent form required by the national health system of our country, by which they consented to their data being used for research and medical education purposes. The study was approved by the Ethics Committee of the hospital Nr. 2035.",The study was approved by the Ethics Committee of the hospital Nr.,the Ethics Committee,ORG,26,46,ethics committee of ,1
27611,C:\Users\shweata\ethics_statement_corpus_1000\PMC8037040\sections\1_body\1_2__materials_and_methods\5_2_5__ethics\1_p.xml,"Studies in Slovenia were approved by the Medical Ethics Committee of the Ministry of Health of the Republic of Slovenia (No 133/06/03, 38/05/06, 144/06/07, 35/05/09, 36/05/09, 127/06/10, 17/11/12, and 145/45/14), and for each patient written informed consent was obtained.","Studies in Slovenia were approved by the Medical Ethics Committee of the Ministry of Health of the Republic of Slovenia (No 133/06/03, 38/05/06, 144/06/07, 35/05/09, 36/05/09, 127/06/10, 17/11/12, and 145/45/14), and for each patient written informed consent was obtained.","Slovenia, the Medical Ethics Committee, the Ministry of Health of the Republic of Slovenia","GPE, ORG, ORG","11, 37, 69","19, 65, 119",ethics committee of ,1
27812,C:\Users\shweata\ethics_statement_corpus_1000\PMC8037580\sections\1_body\1_2__materials_and_methods\1_2_1__participants_and_typ\1_p.xml,"Ethics approval for the research was obtained from the Ethics Committee of the Research Center for Promoting Excellence in Professional Training, University of Pitesti (reference number 1366/11 June 2020). An observational cross-sectional study was performed on a group of 120 subjects (mean age 42.33 ± 21.12 years), sex ratio men to women 1.14:1. The subjects were selected with the help of field operators, students at the University of Pitesti. The operators were previously trained on the computerized RT testing procedure. They initially participated directly as subjects in the research, and then each of them performed the supervised testing of 4–6 other subjects (family members or friends).","Ethics approval for the research was obtained from the Ethics Committee of the Research Center for Promoting Excellence in Professional Training, University of Pitesti (reference number 1366/11 June 2020).","the Ethics Committee of the Research Center for Promoting Excellence, University of Pitesti","ORG, ORG","51, 146","119, 167",ethics committee of ,1
27977,C:\Users\shweata\ethics_statement_corpus_1000\PMC8038105\sections\1_body\1_2__materials_and_methods\1_p.xml,"The study was conducted in 23 pregnant women (20–38 years old) that were recruited at the turn of the 2nd and 3rd trimesters immediately following an oral glucose tolerance test (OGTT) during the study period 2019–2020. All subjects provided written informed consent before participating in the study. The study was approved by the Ethics Committee of the Košice Self-Governing Region, protocol number: 8N/2019. The research was carried out in accordance with the principles of the Declaration of Helsinki.","The study was approved by the Ethics Committee of the Košice Self-Governing Region, protocol number: 8N/2019.",the Ethics Committee of the Košice Self-Governing Region,ORG,26,82,ethics committee of ,1
28029,C:\Users\shweata\ethics_statement_corpus_1000\PMC8038122\sections\1_body\1_2__methods\1_2_1__ethics_statement\1_p.xml,"The data were collected from the Taiwan Biobank database. The Institutional Review Board on Biomedical Science Research/IRB-BM, Academia Sinica, Taiwan, and the Ethics and Governance Council of Taiwan Biobank, Taiwan, approved the protocol of the Taiwan Biobank. Written informed consent was obtained from each participant. The current study was approved by the Institutional Review Board of Kaohsiung Medical University Hospital (IRB No: KMUHIRB-E(I)-20180242).",The current study was approved by the Institutional Review Board of Kaohsiung Medical University Hospital (IRB No: KMUHIRB-E(I)-20180242).,"the Institutional Review Board of Kaohsiung Medical University Hospital, IRB","ORG, ORG","34, 107","105, 110",institutional review board of ,1
28094,C:\Users\shweata\ethics_statement_corpus_1000\PMC8038148\sections\1_body\1_2__materials_and_methods\1_p.xml,"An observational study was conducted on a sample of administrative and dental staff employees from Lombardy region who volunteered to be tested through an Ab-RDT for the detection of COVID-19. The study has been conducted from 28 May 2020 up to 30 September 2020 after having obtained the approval from the ethics committee of Università Statale di Milano, Milan (n: 61/20). For the preparation of the present analysis, we followed the STROBE guidelines for cross-sectional studies  25.","The study has been conducted from 28 May 2020 up to 30 September 2020 after having obtained the approval from the ethics committee of Università Statale di Milano, Milan (n: 61/20).","Università Statale, Milano, Milan","ORG, GPE, GPE","134, 156, 164","152, 162, 169",ethics committee of ,1
28130,C:\Users\shweata\ethics_statement_corpus_1000\PMC8038173\sections\1_body\1_2__methods\1_2_1__participants_and_pro\1_p.xml,"Participants in the present study were Chinese college students. We selected six universities (three in Shandong Province, one in Zhejiang Province, one in Sichuan Province, and one in Guizhou Province) as the sampling unit. We recruited participating students by the following ways: (1) advertising the questionnaire through social media; (2) printing out the link of the questionnaire and distributing it to the teaching buildings, departments, and dining rooms of students so that students could scan the link and fill in the questionnaire; and (3) students who had completed the questionnaire were encouraged to invite their classmates or friends to participate. Participants completed the questionnaire via the survey link. Before the survey, the purpose of this research and the voluntary nature of participation were clearly communicated to all the participants. They were informed that they could stop the survey at any time, and that completing the questionnaire indicated their informed consent to participate in this study. All data were collected on a voluntary, anonymous, and confidential basis. The Ethics Committee of the School of Public Health of Shandong University approved this study (No. 20190912).",The Ethics Committee of the School of Public Health of Shandong University approved this study (No.,The Ethics Committee of the School of Public Health of Shandong University,ORG,0,74,ethics committee of ,1
28271,C:\Users\shweata\ethics_statement_corpus_1000\PMC8038315\sections\1_body\1_2__methods\4_2_4__ethical_aspects\1_p.xml,"The study was conducted according to the Declaration of Helsinki, and the Research Ethics Committee of Granada approved the protocol. Since it used anonymised and retrospective data, informed consent was not requested with the approval of the Ethics Committee.","The study was conducted according to the Declaration of Helsinki, and the Research Ethics Committee of Granada approved the protocol.",the Research Ethics Committee,ORG,70,99,ethics committee of ,1
28354,C:\Users\shweata\ethics_statement_corpus_1000\PMC8038468\sections\1_body\1_2__material_and_methods\6_2_6__ethical_approval\1_p.xml,"The DHS reports that ethical clearances were obtained from the Ethics Committee of ORC Macro Inc. as well as Ethics Boards of partner organisations of the various countries such as the Ministries of Health. The DHS follows the standards for ensuring the protection of respondents’ privacy. Inner City Fund International ensures that the survey complies with the United States Department of Health and Human Services’ regulations for the respect of human subjects. Since this was a secondary analysis, no further ethical approval was required because the datasets are available for download in the public domain. Further information about the DHS data usage and ethical standards is available at  http://goo.gl/ny8T6X (accessed on 17 February 2021)",The DHS reports that ethical clearances were obtained from the Ethics Committee of ORC Macro Inc. as well as Ethics Boards of partner organisations of the various countries such as the Ministries of Health.,"DHS, the Ethics Committee, ORC Macro Inc., Ethics Boards, the Ministries of Health","ORG, ORG, ORG, ORG, ORG","4, 59, 83, 109, 181","7, 79, 97, 122, 205",ethics committee of ,1
28459,C:\Users\shweata\ethics_statement_corpus_1000\PMC8038557\sections\1_body\1_2__materials_and_methods\1_2_1__study_population_and\1_p.xml,"This study was conducted in accordance with the Declaration of Helsinki. The protocol of this study was reviewed and approved by the ethics committee of the Tokyo Women’s Medical University (approval code: 4660). All patients provided written informed consent to participate after being given a thorough explanation of the study. Fully trained attending psychiatrists had diagnosed schizophrenia according to the Diagnostic and Statistical Manual of Mental Disorders, Fifth Edition  2, and the patients had regularly visited the Neuropsychiatric Department in Tokyo Women’s Medical University Hospital for years. The psychiatrists also documented patients’ living conditions, clinical history (including hospitalization), and comorbidities of other diseases on electronic medical charts during routine clinical interviews. We recruited consecutive patients with schizophrenia aged ≥20 years who visited our hospital between April 2018 and March 2019. Subjects were excluded if psychiatrists noted any of the following during clinical examination: (a) occurrence of acute psychotic states during the previous year, (b) psychiatric hospitalization in the previous three months, (c) employment as a shift worker, (d) presence of obstructive sleep apnea and restless legs syndrome (screened for habitual snoring and leg discomfort that worsens in the evening, respectively), (e) ongoing alcohol or substance abuse, and (f) suicide risk.",The protocol of this study was reviewed and approved by the ethics committee of the Tokyo Women’s Medical University (approval code: 4660).,the Tokyo Women’s Medical University,ORG,80,116,ethics committee of ,1
28504,C:\Users\shweata\ethics_statement_corpus_1000\PMC8038626\sections\1_body\1_2__materials_and_methods\1_2_1__study_population\1_p.xml,"This was a retrospective study among preterm infants admitted to Hospital Universiti Sains Malaysia from September 2016 to December 2019. A total of 93 infants were included in this study. The study was approved by the Human Research Ethics Committee of Universiti Sains Malaysia (USM/JEPeM/18090441). The conduct of the study followed the tenets of the Declaration of Helsinki. Inclusion criteria included all premature infants with a gestational age of less than 32 weeks and a birth weight less than 1.5 kg. Infants with significant congenital abnormalities, infants with ocular defects and infants who died before their ROP status was known were excluded. Each ROP case was individually matched to two non-ROP cases (1:2), with birth weight within 100 g and gestational age within 1 week of the study subjects. Subjects with extremely small gestational age or birth weight who could not be matched were excluded. Subjects with individual or parental history of platelet-related diseases (e.g., idiopathic thrombocytopenic purpura, hemangioma and trisomy diseases) were also excluded.",The study was approved by the Human Research Ethics Committee of Universiti Sains Malaysia (USM/JEPeM/18090441).,"the Human Research Ethics Committee, Universiti Sains, Malaysia","ORG, ORG, GPE","26, 65, 82","61, 81, 90",ethics committee of ,1
28547,C:\Users\shweata\ethics_statement_corpus_1000\PMC8038654\sections\1_body\1_2__materials_and_methods\1_2_1__ethics_statement\1_p.xml,"All participants gave their informed written consent prior to participation according to procedures approved by the Ethics Committee of the Poznan University of Medical Sciences in Poland, approval number 989/17.","All participants gave their informed written consent prior to participation according to procedures approved by the Ethics Committee of the Poznan University of Medical Sciences in Poland, approval number 989/17.","the Ethics Committee of the Poznan University of Medical Sciences, Poland","ORG, GPE","112, 181","177, 187",ethics committee of ,1
28719,C:\Users\shweata\ethics_statement_corpus_1000\PMC8038827\sections\1_body\1_2__materials_and_methods\1_2_1__study_population\1_p.xml,"A total number of 53 renal biopsies with confirmed renal involvement of AAV and 53 corresponding urinary samples primarily admitted to the Department of Nephrology and Rheumatology, University Medical Center Göttingen, Germany were retrospectively included from 2015 to 2021; the patient cohort was in part previously described  32. The study was conducted according to the guidelines of the Declaration of Helsinki and approved by the Ethics Committee of University Medical Center Göttingen, Germany. Medical records were used to obtain data on age, sex, diagnosis (MPA or GPA) and laboratory results. The estimated glomerular filtration rate (GFR) was calculated using the Chronic Kidney Disease Epidemiology Collaboration (CKD-EPI) equation  34. The worst measurement during the initial course of the disease was used to determine the severity of kidney injury. At admission, the Birmingham Vasculitis Activity Score (BVAS) version 3 was calculated as described previously  35. The BVAS is assessed on a scale of 0 to 63, with a score of 0 indicating the absence of disease activity and higher scores indicating active disease.","The study was conducted according to the guidelines of the Declaration of Helsinki and approved by the Ethics Committee of University Medical Center Göttingen, Germany.","the Ethics Committee of University Medical Center Göttingen, Germany","ORG, GPE","99, 160","158, 167",ethics committee of ,1
28836,C:\Users\shweata\ethics_statement_corpus_1000\PMC8039315\sections\1_body\1_methods_and_materials\1_ethics_statement\1_p.xml,The human ethics committee of Zhejiang Provincial Peoples Hospital approved the protocol of this study. All clinical investigations were conducted according to the principles expressed in the Declaration of Helsinki. All subjects had given written informed consent prior to the study.,The human ethics committee of Zhejiang Provincial Peoples Hospital approved the protocol of this study.,Zhejiang Provincial Peoples Hospital,ORG,30,67,ethics committee of ,1
28880,C:\Users\shweata\ethics_statement_corpus_1000\PMC8039315\sections\1_body\6_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by the Human Ethics Committee of Zhejiang Provincial Peoples Hospital. The patients/participants provided their written informed consent to participate in this study.,The studies involving human participants were reviewed and approved by the Human Ethics Committee of Zhejiang Provincial Peoples Hospital.,the Human Ethics Committee of Zhejiang Provincial Peoples Hospital,ORG,71,138,ethics committee of ,1
29095,C:\Users\shweata\ethics_statement_corpus_1000\PMC8040167\sections\1_body\2_materials_and_methods\1_study_setting\1_p.xml,"From May 2020 to July 2020, a cross-sectional survey was conducted among the permanent residents selected by simple random sampling in Hongsheng community in Gaomi City, Shandong Province, China. To some extent, they were representative of city residents in northern China. Finally, 220 residents were included in this study. The study was performed by filling in the questionnaires face to face. All participants were fully informed of the study and provided written informed consent. The study protocol was approved by the Ethics Committee of China-Japan Friendship Hospital (No. 2015-33), and the study was performed in accordance with the Declaration of Helsinki.",The study protocol was approved by the Ethics Committee of China-Japan Friendship Hospital (No.,the Ethics Committee of China-Japan Friendship Hospital,ORG,35,90,ethics committee of ,1
29185,C:\Users\shweata\ethics_statement_corpus_1000\PMC8042130\sections\1_body\1_materials_and_methods\2_ethics_and_dissemination\1_p.xml,"The study protocol is approved by the Medical Ethics Committee of The First Affiliated Hospital of Soochow University (Approval No. 2020-077-1) and by the institutional ethics review board of each participating center. This study is registered at the Chinese Clinical Trials Registry on October 25, 2020 ( http://www.chictr.org.cn, identifier: ChiCTR2000039376), before the enrollment of the first subject. This study follows the Declaration of Helsinki and the International Conference on Harmonization guidelines for Good Clinical Practice. This report follows the Standard Protocol Items: Recommendations for Interventional Trials (SPIRIT) statement ( 20).",The study protocol is approved by the Medical Ethics Committee of The First Affiliated Hospital of Soochow University (Approval No.,the Medical Ethics Committee,ORG,34,62,ethics committee of ,1
29218,C:\Users\shweata\ethics_statement_corpus_1000\PMC8042130\sections\1_body\3_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Medical Ethics Committee of The First Affiliated Hospital of Soochow University. The patients/participants provided their written informed consent to participate in this study.,The studies involving human participants were reviewed and approved by Medical Ethics Committee of The First Affiliated Hospital of Soochow University.,Medical Ethics Committee,ORG,71,95,ethics committee of ,1
29268,C:\Users\shweata\ethics_statement_corpus_1000\PMC8044866\sections\1_body\6_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Ethics Committee of Chaohu Hospital of Anhui Medical University. The patients/participants provided their written informed consent to participate in this study. Written informed consent was obtained from the individual(s) for the publication of any potentially identifiable images or data included in this article.,The studies involving human participants were reviewed and approved by Ethics Committee of Chaohu Hospital of Anhui Medical University.,Ethics Committee of Chaohu Hospital of Anhui Medical University,ORG,71,134,ethics committee of ,1
29297,C:\Users\shweata\ethics_statement_corpus_1000\PMC8044978\sections\1_body\1_materials_and_methods\5_ethics_statement\1_p.xml,"This study was reviewed and approved by the Ethics Committee of the NIID and was conducted according to the principles expressed in the Declaration of Helsinki. Informed consent was waived because the data did not contain any patient identifiers, and the samples were taken in the course of standard patient care.",This study was reviewed and approved by the Ethics Committee of the NIID and was conducted according to the principles expressed in the Declaration of Helsinki.,"the Ethics Committee, NIID","ORG, ORG","40, 68","60, 72",ethics committee of ,1
29339,C:\Users\shweata\ethics_statement_corpus_1000\PMC8044978\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by The Ethics Committee of the National Institute of infectious Diseases. Written informed consent from the participants’ legal guardian/next of kin was not required to participate in this study in accordance with the national legislation and the institutional requirements.,The studies involving human participants were reviewed and approved by The Ethics Committee of the National Institute of infectious Diseases.,"The Ethics Committee, the National Institute of infectious Diseases","ORG, ORG","71, 95","91, 140",ethics committee of ,1
