,file_path,paragraph,sentence,entities,labels,position_start,position_end,abbreviations,abbreviations_longform,abbreviation_start,abbreviation_end
227,C:\Users\shweata\docanalysis\terpene_fig\PMC8751386\sections\2_body\1_results_and_discussion\5_biochemical_analysis_of_ttc15-\5_fig.xml,FIG 8Putative enzymatic conversion of GPP (A) and FPP (B) by terpene cyclase TTC15-T153.,FIG 8Putative enzymatic conversion of GPP (A) and FPP (B) by terpene cyclase TTC15-T153.,"GPP, FPP, terpene","CHEMICAL, CHEMICAL, CHEMICAL","38, 50, 61","41, 53, 68",,,,
229,C:\Users\shweata\docanalysis\terpene_fig\PMC8753352\sections\2_body\2_fig.xml,"Figure 1(a) Genome features across 12 chromosomes. The circulars map shows, from outside to inside, ideograms of the 12 chromosomes, density of genes (blue‐red scale), density of LTRs, density of Copia, density of Gypsy and syntenic blocks. (b) Statistics for the assembly and annotation of the six published magnoliid genomes. (c) Dated phylogeny for 20 plant species with ANA as an out‐group, a time scale is shown at the bottom. The bootstrap value is given in black. The gene families that expanded and contracted are given in red and blue, respectively. (d) Density distribution of Ks for paralogous gene pairs of the six magnoliid genomes. (e) Interspecific collinearity at the chromosome level among C. camphora, C. kanehirae and C. salicifolius. The grey line connects matched gene pairs. (f) Distribution pattern of 83 TPS genes on chromosomes. (g) Key genes involved in terpenoid backbone biosynthesis pathways in the camphor tree genome. (h) Transcriptional heatmap of 83 CcamTPS genes.","The circulars map shows, from outside to inside, ideograms of the 12 chromosomes, density of genes (blue‐red scale), density of LTRs, density of Copia, density of Gypsy and syntenic blocks.",Gypsy,DISEASE,163,168,,,,
231,C:\Users\shweata\docanalysis\terpene_fig\PMC8753352\sections\2_body\2_fig.xml,"Figure 1(a) Genome features across 12 chromosomes. The circulars map shows, from outside to inside, ideograms of the 12 chromosomes, density of genes (blue‐red scale), density of LTRs, density of Copia, density of Gypsy and syntenic blocks. (b) Statistics for the assembly and annotation of the six published magnoliid genomes. (c) Dated phylogeny for 20 plant species with ANA as an out‐group, a time scale is shown at the bottom. The bootstrap value is given in black. The gene families that expanded and contracted are given in red and blue, respectively. (d) Density distribution of Ks for paralogous gene pairs of the six magnoliid genomes. (e) Interspecific collinearity at the chromosome level among C. camphora, C. kanehirae and C. salicifolius. The grey line connects matched gene pairs. (f) Distribution pattern of 83 TPS genes on chromosomes. (g) Key genes involved in terpenoid backbone biosynthesis pathways in the camphor tree genome. (h) Transcriptional heatmap of 83 CcamTPS genes.","(c) Dated phylogeny for 20 plant species with ANA as an out‐group, a time scale is shown at the bottom.",ANA,CHEMICAL,46,49,,,,
235,C:\Users\shweata\docanalysis\terpene_fig\PMC8753352\sections\2_body\2_fig.xml,"Figure 1(a) Genome features across 12 chromosomes. The circulars map shows, from outside to inside, ideograms of the 12 chromosomes, density of genes (blue‐red scale), density of LTRs, density of Copia, density of Gypsy and syntenic blocks. (b) Statistics for the assembly and annotation of the six published magnoliid genomes. (c) Dated phylogeny for 20 plant species with ANA as an out‐group, a time scale is shown at the bottom. The bootstrap value is given in black. The gene families that expanded and contracted are given in red and blue, respectively. (d) Density distribution of Ks for paralogous gene pairs of the six magnoliid genomes. (e) Interspecific collinearity at the chromosome level among C. camphora, C. kanehirae and C. salicifolius. The grey line connects matched gene pairs. (f) Distribution pattern of 83 TPS genes on chromosomes. (g) Key genes involved in terpenoid backbone biosynthesis pathways in the camphor tree genome. (h) Transcriptional heatmap of 83 CcamTPS genes.","(e) Interspecific collinearity at the chromosome level among C. camphora, C. kanehirae and C. salicifolius.","C. camphora, C. kanehirae","DISEASE, DISEASE","61, 74","72, 86",,,,
238,C:\Users\shweata\docanalysis\terpene_fig\PMC8753352\sections\2_body\2_fig.xml,"Figure 1(a) Genome features across 12 chromosomes. The circulars map shows, from outside to inside, ideograms of the 12 chromosomes, density of genes (blue‐red scale), density of LTRs, density of Copia, density of Gypsy and syntenic blocks. (b) Statistics for the assembly and annotation of the six published magnoliid genomes. (c) Dated phylogeny for 20 plant species with ANA as an out‐group, a time scale is shown at the bottom. The bootstrap value is given in black. The gene families that expanded and contracted are given in red and blue, respectively. (d) Density distribution of Ks for paralogous gene pairs of the six magnoliid genomes. (e) Interspecific collinearity at the chromosome level among C. camphora, C. kanehirae and C. salicifolius. The grey line connects matched gene pairs. (f) Distribution pattern of 83 TPS genes on chromosomes. (g) Key genes involved in terpenoid backbone biosynthesis pathways in the camphor tree genome. (h) Transcriptional heatmap of 83 CcamTPS genes.",(g) Key genes involved in terpenoid backbone biosynthesis pathways in the camphor tree genome.,terpenoid backbone,CHEMICAL,26,44,,,,
246,C:\Users\shweata\docanalysis\terpene_fig\PMC8771452\sections\2_body\1_results\1_isolation_of_\2_fig.xml,"Figure 1Phylogenetic analysis, gene expression detection and subcellular localization of Aquilegia TPS genes. a Phylogenetic analysis of Aquilegia coerulea TPS sequences. The TPS sequences were processed by Clustal Omega and input into MEGA-X to construct the neighbor-joining tree. Bootstrap values represent 1000 replicates. The TPS-a, TPS-b, TPS-c, TPS-e/f, and TPS-g clades are highlighted with colored lines. b The relative expression levels of 42 TPSs in Aquilegia flowers collected from Zuojia, Jilin Province, China. All the transcripts were normalized to β-actin and compared with A. oxysepala TPS1. c Subcellular localization of the highly expressed TPS7, TPS8, TPS9 and TPS27 genes in Arabidopsis protoplasts. Green, GFP fluorescence detected in the green channel; red, chlorophyll autofluorescence detected in the red channel; merged, merged green and red channel images; and bright light, bright field image. Scale bar =25 μm. d Representative flowers of A. oxysepala, A. japonica and their hybrid. Scale bar =1 cm.",All the transcripts were normalized to β-actin and compared with A. oxysepala TPS1.,A. oxysepala,DISEASE,65,77,,,,
247,C:\Users\shweata\docanalysis\terpene_fig\PMC8771452\sections\2_body\1_results\1_isolation_of_\2_fig.xml,"Figure 1Phylogenetic analysis, gene expression detection and subcellular localization of Aquilegia TPS genes. a Phylogenetic analysis of Aquilegia coerulea TPS sequences. The TPS sequences were processed by Clustal Omega and input into MEGA-X to construct the neighbor-joining tree. Bootstrap values represent 1000 replicates. The TPS-a, TPS-b, TPS-c, TPS-e/f, and TPS-g clades are highlighted with colored lines. b The relative expression levels of 42 TPSs in Aquilegia flowers collected from Zuojia, Jilin Province, China. All the transcripts were normalized to β-actin and compared with A. oxysepala TPS1. c Subcellular localization of the highly expressed TPS7, TPS8, TPS9 and TPS27 genes in Arabidopsis protoplasts. Green, GFP fluorescence detected in the green channel; red, chlorophyll autofluorescence detected in the red channel; merged, merged green and red channel images; and bright light, bright field image. Scale bar =25 μm. d Representative flowers of A. oxysepala, A. japonica and their hybrid. Scale bar =1 cm.","c Subcellular localization of the highly expressed TPS7, TPS8, TPS9 and TPS27 genes in Arabidopsis protoplasts.",TPS8,CHEMICAL,57,61,,,,
248,C:\Users\shweata\docanalysis\terpene_fig\PMC8771452\sections\2_body\1_results\1_isolation_of_\2_fig.xml,"Figure 1Phylogenetic analysis, gene expression detection and subcellular localization of Aquilegia TPS genes. a Phylogenetic analysis of Aquilegia coerulea TPS sequences. The TPS sequences were processed by Clustal Omega and input into MEGA-X to construct the neighbor-joining tree. Bootstrap values represent 1000 replicates. The TPS-a, TPS-b, TPS-c, TPS-e/f, and TPS-g clades are highlighted with colored lines. b The relative expression levels of 42 TPSs in Aquilegia flowers collected from Zuojia, Jilin Province, China. All the transcripts were normalized to β-actin and compared with A. oxysepala TPS1. c Subcellular localization of the highly expressed TPS7, TPS8, TPS9 and TPS27 genes in Arabidopsis protoplasts. Green, GFP fluorescence detected in the green channel; red, chlorophyll autofluorescence detected in the red channel; merged, merged green and red channel images; and bright light, bright field image. Scale bar =25 μm. d Representative flowers of A. oxysepala, A. japonica and their hybrid. Scale bar =1 cm.","Green, GFP fluorescence detected in the green channel; red, chlorophyll autofluorescence detected in the red channel; merged, merged green and red channel images; and bright light, bright field image.",chlorophyll,CHEMICAL,60,71,,,,
250,C:\Users\shweata\docanalysis\terpene_fig\PMC8771452\sections\2_body\1_results\1_isolation_of_\2_fig.xml,"Figure 1Phylogenetic analysis, gene expression detection and subcellular localization of Aquilegia TPS genes. a Phylogenetic analysis of Aquilegia coerulea TPS sequences. The TPS sequences were processed by Clustal Omega and input into MEGA-X to construct the neighbor-joining tree. Bootstrap values represent 1000 replicates. The TPS-a, TPS-b, TPS-c, TPS-e/f, and TPS-g clades are highlighted with colored lines. b The relative expression levels of 42 TPSs in Aquilegia flowers collected from Zuojia, Jilin Province, China. All the transcripts were normalized to β-actin and compared with A. oxysepala TPS1. c Subcellular localization of the highly expressed TPS7, TPS8, TPS9 and TPS27 genes in Arabidopsis protoplasts. Green, GFP fluorescence detected in the green channel; red, chlorophyll autofluorescence detected in the red channel; merged, merged green and red channel images; and bright light, bright field image. Scale bar =25 μm. d Representative flowers of A. oxysepala, A. japonica and their hybrid. Scale bar =1 cm.","d Representative flowers of A. oxysepala, A. japonica and their hybrid.",A. oxysepala,DISEASE,28,40,,,,
253,C:\Users\shweata\docanalysis\terpene_fig\PMC8771452\sections\2_body\1_results\2_the_expression_levels_of_\2_fig.xml,"Figure 2Volatile terpene emissions and TPS expression of Aquilegia individuals from the Zuojia population. a Floral volatile terpene profiles of representative Aquilegia individuals. b Volatile terpenes emitted from fully blooming flowers of Aquilegia individuals. Data represent the relative peak area in specific individuals. c Volatile terpenes released from flowers at different developmental stages of representative A. oxysepala 7#, A. japonica 7#, and their hybrid. Data represent the relative content calculated by the standard curve of (+)-limonene. d Relative expression levels of TPS7, TPS8, TPS9 and TPS27 in flowers of Aquilegia individuals. e Relative expression levels of TPS7, TPS8, TPS9 and TPS27 in flowers at different developmental stages of representative A. oxysepala 7#, A. japonica 7#, and their hybrid. The transcripts were normalized by AqIPP2 (GenBank KC854337) and compared with the lowest expression level of TPS in specific species. All the data were calculated as log2. Red and blue boxes indicate high and low expression levels, respectively. The detailed terpene contents are listed in Table S1 and Table S2. Here, 1 to 29 represent different volatiles: 1, (1R)-(+)-α-pinene; 2, (1S)-(−)-β-pinene; 3, α-phellandrene; 4, β-phellandrene; 5, β-pinene; 6, myrcene; 7, (+)-limonene; 8, 3-carene; 9, (E)-β-ocimene; 10, linalool; 11, α-terpineol; 12, an unidentified sesquiterpene; 13, (−)-α-copaene; 14, α-bergamotene; 15, an unidentified sesquiterpene; 16, (Z)-β-farnesene; 17, an unidentified sesquiterpene; 18, α-curcumene; 19, (E)-β-farnesene; 20, himachalene; 21, β-caryophyllene; 22, zingiberene; 23, β-bisabolene; 24, β-sesquiphellandrene; 25, α-caryophyllene; 26, an unidentified sesquiterpene; 27, cubebene; 28, α-muurolene; and 29, an unidentified sesquiterpene.",a Floral volatile terpene profiles of representative Aquilegia individuals.,Floral volatile terpene,CHEMICAL,2,25,,,,
254,C:\Users\shweata\docanalysis\terpene_fig\PMC8771452\sections\2_body\1_results\2_the_expression_levels_of_\2_fig.xml,"Figure 2Volatile terpene emissions and TPS expression of Aquilegia individuals from the Zuojia population. a Floral volatile terpene profiles of representative Aquilegia individuals. b Volatile terpenes emitted from fully blooming flowers of Aquilegia individuals. Data represent the relative peak area in specific individuals. c Volatile terpenes released from flowers at different developmental stages of representative A. oxysepala 7#, A. japonica 7#, and their hybrid. Data represent the relative content calculated by the standard curve of (+)-limonene. d Relative expression levels of TPS7, TPS8, TPS9 and TPS27 in flowers of Aquilegia individuals. e Relative expression levels of TPS7, TPS8, TPS9 and TPS27 in flowers at different developmental stages of representative A. oxysepala 7#, A. japonica 7#, and their hybrid. The transcripts were normalized by AqIPP2 (GenBank KC854337) and compared with the lowest expression level of TPS in specific species. All the data were calculated as log2. Red and blue boxes indicate high and low expression levels, respectively. The detailed terpene contents are listed in Table S1 and Table S2. Here, 1 to 29 represent different volatiles: 1, (1R)-(+)-α-pinene; 2, (1S)-(−)-β-pinene; 3, α-phellandrene; 4, β-phellandrene; 5, β-pinene; 6, myrcene; 7, (+)-limonene; 8, 3-carene; 9, (E)-β-ocimene; 10, linalool; 11, α-terpineol; 12, an unidentified sesquiterpene; 13, (−)-α-copaene; 14, α-bergamotene; 15, an unidentified sesquiterpene; 16, (Z)-β-farnesene; 17, an unidentified sesquiterpene; 18, α-curcumene; 19, (E)-β-farnesene; 20, himachalene; 21, β-caryophyllene; 22, zingiberene; 23, β-bisabolene; 24, β-sesquiphellandrene; 25, α-caryophyllene; 26, an unidentified sesquiterpene; 27, cubebene; 28, α-muurolene; and 29, an unidentified sesquiterpene.",b Volatile terpenes emitted from fully blooming flowers of Aquilegia individuals.,b Volatile terpenes,CHEMICAL,0,19,,,,
256,C:\Users\shweata\docanalysis\terpene_fig\PMC8771452\sections\2_body\1_results\2_the_expression_levels_of_\2_fig.xml,"Figure 2Volatile terpene emissions and TPS expression of Aquilegia individuals from the Zuojia population. a Floral volatile terpene profiles of representative Aquilegia individuals. b Volatile terpenes emitted from fully blooming flowers of Aquilegia individuals. Data represent the relative peak area in specific individuals. c Volatile terpenes released from flowers at different developmental stages of representative A. oxysepala 7#, A. japonica 7#, and their hybrid. Data represent the relative content calculated by the standard curve of (+)-limonene. d Relative expression levels of TPS7, TPS8, TPS9 and TPS27 in flowers of Aquilegia individuals. e Relative expression levels of TPS7, TPS8, TPS9 and TPS27 in flowers at different developmental stages of representative A. oxysepala 7#, A. japonica 7#, and their hybrid. The transcripts were normalized by AqIPP2 (GenBank KC854337) and compared with the lowest expression level of TPS in specific species. All the data were calculated as log2. Red and blue boxes indicate high and low expression levels, respectively. The detailed terpene contents are listed in Table S1 and Table S2. Here, 1 to 29 represent different volatiles: 1, (1R)-(+)-α-pinene; 2, (1S)-(−)-β-pinene; 3, α-phellandrene; 4, β-phellandrene; 5, β-pinene; 6, myrcene; 7, (+)-limonene; 8, 3-carene; 9, (E)-β-ocimene; 10, linalool; 11, α-terpineol; 12, an unidentified sesquiterpene; 13, (−)-α-copaene; 14, α-bergamotene; 15, an unidentified sesquiterpene; 16, (Z)-β-farnesene; 17, an unidentified sesquiterpene; 18, α-curcumene; 19, (E)-β-farnesene; 20, himachalene; 21, β-caryophyllene; 22, zingiberene; 23, β-bisabolene; 24, β-sesquiphellandrene; 25, α-caryophyllene; 26, an unidentified sesquiterpene; 27, cubebene; 28, α-muurolene; and 29, an unidentified sesquiterpene.","c Volatile terpenes released from flowers at different developmental stages of representative A. oxysepala 7#, A. japonica 7#, and their hybrid.","c Volatile terpenes, A. oxysepala","CHEMICAL, DISEASE","0, 94","19, 106",,,,
257,C:\Users\shweata\docanalysis\terpene_fig\PMC8771452\sections\2_body\1_results\2_the_expression_levels_of_\2_fig.xml,"Figure 2Volatile terpene emissions and TPS expression of Aquilegia individuals from the Zuojia population. a Floral volatile terpene profiles of representative Aquilegia individuals. b Volatile terpenes emitted from fully blooming flowers of Aquilegia individuals. Data represent the relative peak area in specific individuals. c Volatile terpenes released from flowers at different developmental stages of representative A. oxysepala 7#, A. japonica 7#, and their hybrid. Data represent the relative content calculated by the standard curve of (+)-limonene. d Relative expression levels of TPS7, TPS8, TPS9 and TPS27 in flowers of Aquilegia individuals. e Relative expression levels of TPS7, TPS8, TPS9 and TPS27 in flowers at different developmental stages of representative A. oxysepala 7#, A. japonica 7#, and their hybrid. The transcripts were normalized by AqIPP2 (GenBank KC854337) and compared with the lowest expression level of TPS in specific species. All the data were calculated as log2. Red and blue boxes indicate high and low expression levels, respectively. The detailed terpene contents are listed in Table S1 and Table S2. Here, 1 to 29 represent different volatiles: 1, (1R)-(+)-α-pinene; 2, (1S)-(−)-β-pinene; 3, α-phellandrene; 4, β-phellandrene; 5, β-pinene; 6, myrcene; 7, (+)-limonene; 8, 3-carene; 9, (E)-β-ocimene; 10, linalool; 11, α-terpineol; 12, an unidentified sesquiterpene; 13, (−)-α-copaene; 14, α-bergamotene; 15, an unidentified sesquiterpene; 16, (Z)-β-farnesene; 17, an unidentified sesquiterpene; 18, α-curcumene; 19, (E)-β-farnesene; 20, himachalene; 21, β-caryophyllene; 22, zingiberene; 23, β-bisabolene; 24, β-sesquiphellandrene; 25, α-caryophyllene; 26, an unidentified sesquiterpene; 27, cubebene; 28, α-muurolene; and 29, an unidentified sesquiterpene.",Data represent the relative content calculated by the standard curve of (+)-limonene.,(+)-limonene,CHEMICAL,72,84,,,,
258,C:\Users\shweata\docanalysis\terpene_fig\PMC8771452\sections\2_body\1_results\2_the_expression_levels_of_\2_fig.xml,"Figure 2Volatile terpene emissions and TPS expression of Aquilegia individuals from the Zuojia population. a Floral volatile terpene profiles of representative Aquilegia individuals. b Volatile terpenes emitted from fully blooming flowers of Aquilegia individuals. Data represent the relative peak area in specific individuals. c Volatile terpenes released from flowers at different developmental stages of representative A. oxysepala 7#, A. japonica 7#, and their hybrid. Data represent the relative content calculated by the standard curve of (+)-limonene. d Relative expression levels of TPS7, TPS8, TPS9 and TPS27 in flowers of Aquilegia individuals. e Relative expression levels of TPS7, TPS8, TPS9 and TPS27 in flowers at different developmental stages of representative A. oxysepala 7#, A. japonica 7#, and their hybrid. The transcripts were normalized by AqIPP2 (GenBank KC854337) and compared with the lowest expression level of TPS in specific species. All the data were calculated as log2. Red and blue boxes indicate high and low expression levels, respectively. The detailed terpene contents are listed in Table S1 and Table S2. Here, 1 to 29 represent different volatiles: 1, (1R)-(+)-α-pinene; 2, (1S)-(−)-β-pinene; 3, α-phellandrene; 4, β-phellandrene; 5, β-pinene; 6, myrcene; 7, (+)-limonene; 8, 3-carene; 9, (E)-β-ocimene; 10, linalool; 11, α-terpineol; 12, an unidentified sesquiterpene; 13, (−)-α-copaene; 14, α-bergamotene; 15, an unidentified sesquiterpene; 16, (Z)-β-farnesene; 17, an unidentified sesquiterpene; 18, α-curcumene; 19, (E)-β-farnesene; 20, himachalene; 21, β-caryophyllene; 22, zingiberene; 23, β-bisabolene; 24, β-sesquiphellandrene; 25, α-caryophyllene; 26, an unidentified sesquiterpene; 27, cubebene; 28, α-muurolene; and 29, an unidentified sesquiterpene.","d Relative expression levels of TPS7, TPS8, TPS9 and TPS27 in flowers of Aquilegia individuals.",TPS8,CHEMICAL,38,42,,,,
259,C:\Users\shweata\docanalysis\terpene_fig\PMC8771452\sections\2_body\1_results\2_the_expression_levels_of_\2_fig.xml,"Figure 2Volatile terpene emissions and TPS expression of Aquilegia individuals from the Zuojia population. a Floral volatile terpene profiles of representative Aquilegia individuals. b Volatile terpenes emitted from fully blooming flowers of Aquilegia individuals. Data represent the relative peak area in specific individuals. c Volatile terpenes released from flowers at different developmental stages of representative A. oxysepala 7#, A. japonica 7#, and their hybrid. Data represent the relative content calculated by the standard curve of (+)-limonene. d Relative expression levels of TPS7, TPS8, TPS9 and TPS27 in flowers of Aquilegia individuals. e Relative expression levels of TPS7, TPS8, TPS9 and TPS27 in flowers at different developmental stages of representative A. oxysepala 7#, A. japonica 7#, and their hybrid. The transcripts were normalized by AqIPP2 (GenBank KC854337) and compared with the lowest expression level of TPS in specific species. All the data were calculated as log2. Red and blue boxes indicate high and low expression levels, respectively. The detailed terpene contents are listed in Table S1 and Table S2. Here, 1 to 29 represent different volatiles: 1, (1R)-(+)-α-pinene; 2, (1S)-(−)-β-pinene; 3, α-phellandrene; 4, β-phellandrene; 5, β-pinene; 6, myrcene; 7, (+)-limonene; 8, 3-carene; 9, (E)-β-ocimene; 10, linalool; 11, α-terpineol; 12, an unidentified sesquiterpene; 13, (−)-α-copaene; 14, α-bergamotene; 15, an unidentified sesquiterpene; 16, (Z)-β-farnesene; 17, an unidentified sesquiterpene; 18, α-curcumene; 19, (E)-β-farnesene; 20, himachalene; 21, β-caryophyllene; 22, zingiberene; 23, β-bisabolene; 24, β-sesquiphellandrene; 25, α-caryophyllene; 26, an unidentified sesquiterpene; 27, cubebene; 28, α-muurolene; and 29, an unidentified sesquiterpene.","e Relative expression levels of TPS7, TPS8, TPS9 and TPS27 in flowers at different developmental stages of representative A. oxysepala 7#, A. japonica 7#, and their hybrid.","TPS8, A. oxysepala","CHEMICAL, DISEASE","38, 122","42, 134",,,,
260,C:\Users\shweata\docanalysis\terpene_fig\PMC8771452\sections\2_body\1_results\2_the_expression_levels_of_\2_fig.xml,"Figure 2Volatile terpene emissions and TPS expression of Aquilegia individuals from the Zuojia population. a Floral volatile terpene profiles of representative Aquilegia individuals. b Volatile terpenes emitted from fully blooming flowers of Aquilegia individuals. Data represent the relative peak area in specific individuals. c Volatile terpenes released from flowers at different developmental stages of representative A. oxysepala 7#, A. japonica 7#, and their hybrid. Data represent the relative content calculated by the standard curve of (+)-limonene. d Relative expression levels of TPS7, TPS8, TPS9 and TPS27 in flowers of Aquilegia individuals. e Relative expression levels of TPS7, TPS8, TPS9 and TPS27 in flowers at different developmental stages of representative A. oxysepala 7#, A. japonica 7#, and their hybrid. The transcripts were normalized by AqIPP2 (GenBank KC854337) and compared with the lowest expression level of TPS in specific species. All the data were calculated as log2. Red and blue boxes indicate high and low expression levels, respectively. The detailed terpene contents are listed in Table S1 and Table S2. Here, 1 to 29 represent different volatiles: 1, (1R)-(+)-α-pinene; 2, (1S)-(−)-β-pinene; 3, α-phellandrene; 4, β-phellandrene; 5, β-pinene; 6, myrcene; 7, (+)-limonene; 8, 3-carene; 9, (E)-β-ocimene; 10, linalool; 11, α-terpineol; 12, an unidentified sesquiterpene; 13, (−)-α-copaene; 14, α-bergamotene; 15, an unidentified sesquiterpene; 16, (Z)-β-farnesene; 17, an unidentified sesquiterpene; 18, α-curcumene; 19, (E)-β-farnesene; 20, himachalene; 21, β-caryophyllene; 22, zingiberene; 23, β-bisabolene; 24, β-sesquiphellandrene; 25, α-caryophyllene; 26, an unidentified sesquiterpene; 27, cubebene; 28, α-muurolene; and 29, an unidentified sesquiterpene.",The transcripts were normalized by AqIPP2 (GenBank KC854337) and compared with the lowest expression level of TPS in specific species.,AqIPP2,CHEMICAL,35,41,,,,
263,C:\Users\shweata\docanalysis\terpene_fig\PMC8771452\sections\2_body\1_results\2_the_expression_levels_of_\2_fig.xml,"Figure 2Volatile terpene emissions and TPS expression of Aquilegia individuals from the Zuojia population. a Floral volatile terpene profiles of representative Aquilegia individuals. b Volatile terpenes emitted from fully blooming flowers of Aquilegia individuals. Data represent the relative peak area in specific individuals. c Volatile terpenes released from flowers at different developmental stages of representative A. oxysepala 7#, A. japonica 7#, and their hybrid. Data represent the relative content calculated by the standard curve of (+)-limonene. d Relative expression levels of TPS7, TPS8, TPS9 and TPS27 in flowers of Aquilegia individuals. e Relative expression levels of TPS7, TPS8, TPS9 and TPS27 in flowers at different developmental stages of representative A. oxysepala 7#, A. japonica 7#, and their hybrid. The transcripts were normalized by AqIPP2 (GenBank KC854337) and compared with the lowest expression level of TPS in specific species. All the data were calculated as log2. Red and blue boxes indicate high and low expression levels, respectively. The detailed terpene contents are listed in Table S1 and Table S2. Here, 1 to 29 represent different volatiles: 1, (1R)-(+)-α-pinene; 2, (1S)-(−)-β-pinene; 3, α-phellandrene; 4, β-phellandrene; 5, β-pinene; 6, myrcene; 7, (+)-limonene; 8, 3-carene; 9, (E)-β-ocimene; 10, linalool; 11, α-terpineol; 12, an unidentified sesquiterpene; 13, (−)-α-copaene; 14, α-bergamotene; 15, an unidentified sesquiterpene; 16, (Z)-β-farnesene; 17, an unidentified sesquiterpene; 18, α-curcumene; 19, (E)-β-farnesene; 20, himachalene; 21, β-caryophyllene; 22, zingiberene; 23, β-bisabolene; 24, β-sesquiphellandrene; 25, α-caryophyllene; 26, an unidentified sesquiterpene; 27, cubebene; 28, α-muurolene; and 29, an unidentified sesquiterpene.",The detailed terpene contents are listed in Table S1 and Table S2.,terpene,CHEMICAL,13,20,,,,
264,C:\Users\shweata\docanalysis\terpene_fig\PMC8771452\sections\2_body\1_results\2_the_expression_levels_of_\2_fig.xml,"Figure 2Volatile terpene emissions and TPS expression of Aquilegia individuals from the Zuojia population. a Floral volatile terpene profiles of representative Aquilegia individuals. b Volatile terpenes emitted from fully blooming flowers of Aquilegia individuals. Data represent the relative peak area in specific individuals. c Volatile terpenes released from flowers at different developmental stages of representative A. oxysepala 7#, A. japonica 7#, and their hybrid. Data represent the relative content calculated by the standard curve of (+)-limonene. d Relative expression levels of TPS7, TPS8, TPS9 and TPS27 in flowers of Aquilegia individuals. e Relative expression levels of TPS7, TPS8, TPS9 and TPS27 in flowers at different developmental stages of representative A. oxysepala 7#, A. japonica 7#, and their hybrid. The transcripts were normalized by AqIPP2 (GenBank KC854337) and compared with the lowest expression level of TPS in specific species. All the data were calculated as log2. Red and blue boxes indicate high and low expression levels, respectively. The detailed terpene contents are listed in Table S1 and Table S2. Here, 1 to 29 represent different volatiles: 1, (1R)-(+)-α-pinene; 2, (1S)-(−)-β-pinene; 3, α-phellandrene; 4, β-phellandrene; 5, β-pinene; 6, myrcene; 7, (+)-limonene; 8, 3-carene; 9, (E)-β-ocimene; 10, linalool; 11, α-terpineol; 12, an unidentified sesquiterpene; 13, (−)-α-copaene; 14, α-bergamotene; 15, an unidentified sesquiterpene; 16, (Z)-β-farnesene; 17, an unidentified sesquiterpene; 18, α-curcumene; 19, (E)-β-farnesene; 20, himachalene; 21, β-caryophyllene; 22, zingiberene; 23, β-bisabolene; 24, β-sesquiphellandrene; 25, α-caryophyllene; 26, an unidentified sesquiterpene; 27, cubebene; 28, α-muurolene; and 29, an unidentified sesquiterpene.","Here, 1 to 29 represent different volatiles: 1, (1R)-(+)-α-pinene; 2, (1S)-(−)-β-pinene; 3, α-phellandrene; 4, β-phellandrene; 5, β-pinene; 6, myrcene; 7, (+)-limonene; 8, 3-carene; 9, (E)-β-ocimene; 10, linalool; 11, α-terpineol; 12, an unidentified sesquiterpene; 13, (−)-α-copaene; 14, α-bergamotene; 15, an unidentified sesquiterpene; 16, (Z)-β-farnesene; 17, an unidentified sesquiterpene; 18, α-curcumene; 19, (E)-β-farnesene; 20, himachalene; 21, β-caryophyllene; 22, zingiberene; 23, β-bisabolene; 24, β-sesquiphellandrene; 25, α-caryophyllene; 26, an unidentified sesquiterpene; 27, cubebene; 28, α-muurolene; and 29, an unidentified sesquiterpene.","volatiles, (1S)-(−)-β-pinene, 5, β-pinene, 6, myrcene, (+)-limonene, 8, 3-carene, (E)-β-ocimene, linalool, α-terpineol, (−)-α-copaene, α-bergamotene, α-curcumene, β-caryophyllene, zingiberene, β-bisabolene, α-caryophyllene, cubebene, α-muurolene","CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL","34, 70, 127, 140, 155, 169, 185, 204, 218, 270, 289, 399, 454, 475, 492, 536, 592, 606","43, 87, 138, 150, 167, 180, 198, 212, 229, 283, 302, 410, 469, 486, 504, 551, 600, 617",,,,
